variable,unit,definition,dtype,rows,missing,minimum,maximum
E_late,mm,Total modeled evaporation E. Signed flux integrated from reference POS to reference EOS plus 16 days.,float64,43797,0,39.32839491285722,376.9358532518763
E_annual,mm,Total modeled evaporation E. Signed flux integrated over the complete actual calendar year (365 or 366 days).,float64,43797,0,151.42959789163433,827.5609633252025
E_centroid,day of year,"Total modeled evaporation E. Positive-flux-weighted mean date over the fixed reference season, with fractional-day overlap midpoints.",float64,43797,0,149.31597330844903,227.87763943006658
E_q10,day of year,"Total modeled evaporation E. Date when positive flux reaches 10% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,98.98764821112128,186.37395534776905
E_q10_null,day of year,"Total modeled evaporation E. 10% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,99.65253123180307,183.013938726538
E_q25,day of year,"Total modeled evaporation E. Date when positive flux reaches 25% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,117.76934883470932,201.79991451399587
E_q25_null,day of year,"Total modeled evaporation E. 25% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,121.31054777056566,203.86607341471847
E_q50,day of year,"Total modeled evaporation E. Date when positive flux reaches 50% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,148.0048244445413,228.2013650866561
E_q50_null,day of year,"Total modeled evaporation E. 50% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,152.7007137739826,242.93782191454966
E_q75,day of year,"Total modeled evaporation E. Date when positive flux reaches 75% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,176.20523060498522,264.0595413617625
E_q75_null,day of year,"Total modeled evaporation E. 75% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,182.25354282846303,276.97409736968825
E_q90,day of year,"Total modeled evaporation E. Date when positive flux reaches 90% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,198.65955650117584,290.8934980230475
E_q90_null,day of year,"Total modeled evaporation E. 90% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,204.1217108756493,300.2329935144305
E_centroid_advance,days,Total modeled evaporation E. Cell mean centroid across available derived years minus its annual centroid; positive means earlier. This cell constant is absorbed by cell fixed effects.,float64,43797,0,-12.23436619267926,11.73462852358756
E_q10_advance,days,Total modeled evaporation E. Cell mean observed 10% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-21.278795080631056,17.35975506096895
E_q10_null_advance,days,Total modeled evaporation E. Unshifted reference 10% date minus shifted-reference 10% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-21.274719967376228,10.598173895642958
E_q10_gap,days,Total modeled evaporation E. 10% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-25.88798052484421,21.163780918613895
E_q25_advance,days,Total modeled evaporation E. Cell mean observed 25% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-18.236702985534208,23.783294279636152
E_q25_null_advance,days,Total modeled evaporation E. Unshifted reference 25% date minus shifted-reference 25% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-30.563587527309863,19.713306859850576
E_q25_gap,days,Total modeled evaporation E. 25% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-35.25380723165827,30.588962252687338
E_q50_advance,days,Total modeled evaporation E. Cell mean observed 50% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-17.307529972410833,17.466538584377076
E_q50_null_advance,days,Total modeled evaporation E. Unshifted reference 50% date minus shifted-reference 50% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-33.43447184578389,27.5225327165856
E_q50_gap,days,Total modeled evaporation E. 50% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-33.04374064409788,33.606601717483414
E_q75_advance,days,Total modeled evaporation E. Cell mean observed 75% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-15.545909717404442,17.56515378957414
E_q75_null_advance,days,Total modeled evaporation E. Unshifted reference 75% date minus shifted-reference 75% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-30.67584431167265,25.777416831312337
E_q75_gap,days,Total modeled evaporation E. 75% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-29.307139698701548,29.830075899911662
E_q90_advance,days,Total modeled evaporation E. Cell mean observed 90% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-11.048741206653375,14.443953466292157
E_q90_null_advance,days,Total modeled evaporation E. Unshifted reference 90% date minus shifted-reference 90% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-18.634192885692528,21.088956386662773
E_q90_gap,days,Total modeled evaporation E. 90% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-18.072107252463496,24.61648756721479
Et_I,mm,Modeled transpiration T (GLEAM Et). Observed signed flux integrated from annual SOS to reference POS.,float64,43797,0,0.0,217.65867963426717
Et_K,mm,"Modeled transpiration T (GLEAM Et). Auxiliary all-year reference-curve integral over the same dates as I, including the focal year. The main manuscript uses K_loo.",float64,43797,0,1.3606808124385452,193.82339506995777
Et_R,mm,Modeled transpiration T (GLEAM Et). Auxiliary I minus K using the all-year curve. The main manuscript uses R_loo.,float64,43797,0,-79.7482737721839,87.56103679508124
Et_K_loo,mm,Modeled transpiration T (GLEAM Et). Leave-one-year-out reference-curve integral from annual SOS to reference POS; K in the main manuscript.,float64,43797,0,1.1431284001461108,192.99744567953167
Et_R_loo,mm,"Modeled transpiration T (GLEAM Et). I minus K_loo; R in the main manuscript. A water-depth anomaly integral, not an identified physiological effect.",float64,43797,0,-83.21559017820618,91.36803797763605
Et_early,mm,Modeled transpiration T (GLEAM Et). Signed flux integrated from reference SOS minus 16 days to reference POS.,float64,43797,0,0.0,222.76322670388254
Et_late,mm,Modeled transpiration T (GLEAM Et). Signed flux integrated from reference POS to reference EOS plus 16 days.,float64,43797,0,0.0,297.43282630720296
Et_annual,mm,Modeled transpiration T (GLEAM Et). Signed flux integrated over the complete actual calendar year (365 or 366 days).,float64,43797,0,0.7703425848158076,522.5553057789803
Et_centroid,day of year,"Modeled transpiration T (GLEAM Et). Positive-flux-weighted mean date over the fixed reference season, with fractional-day overlap midpoints.",float64,43797,0,143.3978818463417,236.5912745329893
Et_q10,day of year,"Modeled transpiration T (GLEAM Et). Date when positive flux reaches 10% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,115.21703986299208,213.39292418460946
Et_q10_null,day of year,"Modeled transpiration T (GLEAM Et). 10% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,115.72394735177818,213.0827356041696
Et_q25,day of year,"Modeled transpiration T (GLEAM Et). Date when positive flux reaches 25% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,130.21041854930718,232.27945475818134
Et_q25_null,day of year,"Modeled transpiration T (GLEAM Et). 25% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,134.60283467117404,229.41524547430373
Et_q50,day of year,"Modeled transpiration T (GLEAM Et). Date when positive flux reaches 50% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,133.80099229673294,242.5702192107223
Et_q50_null,day of year,"Modeled transpiration T (GLEAM Et). 50% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,160.23587515711094,251.60838529990693
Et_q75,day of year,"Modeled transpiration T (GLEAM Et). Date when positive flux reaches 75% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,141.5248331405953,272.82724434889695
Et_q75_null,day of year,"Modeled transpiration T (GLEAM Et). 75% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,185.03407587846573,279.6071789791372
Et_q90,day of year,"Modeled transpiration T (GLEAM Et). Date when positive flux reaches 90% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,166.9,297.7626690032775
Et_q90_null,day of year,"Modeled transpiration T (GLEAM Et). 90% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,203.58968730164273,301.46164455286913
Et_centroid_advance,days,Modeled transpiration T (GLEAM Et). Cell mean centroid across available derived years minus its annual centroid; positive means earlier. This cell constant is absorbed by cell fixed effects.,float64,43797,0,-23.155417542963875,65.00740729092192
Et_q10_advance,days,Modeled transpiration T (GLEAM Et). Cell mean observed 10% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-41.903289456093745,47.87019845220138
Et_q10_null_advance,days,Modeled transpiration T (GLEAM Et). Unshifted reference 10% date minus shifted-reference 10% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-53.7549648439273,24.117260083425037
Et_q10_gap,days,Modeled transpiration T (GLEAM Et). 10% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-60.955593026012565,46.509480794076836
Et_q25_advance,days,Modeled transpiration T (GLEAM Et). Cell mean observed 25% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-43.703857658123155,60.26761723510006
Et_q25_null_advance,days,Modeled transpiration T (GLEAM Et). Unshifted reference 25% date minus shifted-reference 25% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-56.49544425068433,31.598911346557742
Et_q25_gap,days,Modeled transpiration T (GLEAM Et). 25% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-77.80040830086594,41.28147275301694
Et_q50_advance,days,Modeled transpiration T (GLEAM Et). Cell mean observed 50% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-29.852996439138423,76.11060223634931
Et_q50_null_advance,days,Modeled transpiration T (GLEAM Et). Unshifted reference 50% date minus shifted-reference 50% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-51.72270958933123,38.93372558851502
Et_q50_gap,days,Modeled transpiration T (GLEAM Et). 50% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-96.08897633277411,61.27413976439979
Et_q75_advance,days,Modeled transpiration T (GLEAM Et). Cell mean observed 75% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-35.93519407910222,87.1453583872665
Et_q75_null_advance,days,Modeled transpiration T (GLEAM Et). Unshifted reference 75% date minus shifted-reference 75% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-47.0175073419434,41.68267941221282
Et_q75_gap,days,Modeled transpiration T (GLEAM Et). 75% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-105.21183218646013,54.85926324049089
Et_q90_advance,days,Modeled transpiration T (GLEAM Et). Cell mean observed 90% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-27.394433208988602,58.96894278092154
Et_q90_null_advance,days,Modeled transpiration T (GLEAM Et). Unshifted reference 90% date minus shifted-reference 90% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-38.17977682692211,38.68551289669952
Et_q90_gap,days,Modeled transpiration T (GLEAM Et). 90% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-72.5299200511325,43.86925791150463
En_I,mm,Other modeled net evaporation N = E minus Et. Observed signed flux integrated from annual SOS to reference POS.,float64,43797,0,0.9505898952484131,269.35834340882957
En_K,mm,"Other modeled net evaporation N = E minus Et. Auxiliary all-year reference-curve integral over the same dates as I, including the focal year. The main manuscript uses K_loo.",float64,43797,0,1.6645438888408535,259.1923021635048
En_R,mm,Other modeled net evaporation N = E minus Et. Auxiliary I minus K using the all-year curve. The main manuscript uses R_loo.,float64,43797,0,-57.33302272781111,82.37803228590201
En_K_loo,mm,Other modeled net evaporation N = E minus Et. Leave-one-year-out reference-curve integral from annual SOS to reference POS; K in the main manuscript.,float64,43797,0,1.4879818891840841,258.750303269866
En_R_loo,mm,"Other modeled net evaporation N = E minus Et. I minus K_loo; R in the main manuscript. A water-depth anomaly integral, not an identified physiological effect.",float64,43797,0,-59.82576302349844,85.95968682582316
En_early,mm,Other modeled net evaporation N = E minus Et. Signed flux integrated from reference SOS minus 16 days to reference POS.,float64,43797,0,10.357055873602803,251.74331943887955
En_late,mm,Other modeled net evaporation N = E minus Et. Signed flux integrated from reference POS to reference EOS plus 16 days.,float64,43797,0,1.8526154160499573,168.09787188124756
En_annual,mm,Other modeled net evaporation N = E minus Et. Signed flux integrated over the complete actual calendar year (365 or 366 days).,float64,43797,0,79.43749570008367,722.8277152404189
En_centroid,day of year,"Other modeled net evaporation N = E minus Et. Positive-flux-weighted mean date over the fixed reference season, with fractional-day overlap midpoints.",float64,43797,0,128.95421767721285,234.48507699696782
En_q10,day of year,"Other modeled net evaporation N = E minus Et. Date when positive flux reaches 10% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,88.54236659919961,196.44101086433278
En_q10_null,day of year,"Other modeled net evaporation N = E minus Et. 10% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,90.7922018342729,182.19484559287775
En_q25,day of year,"Other modeled net evaporation N = E minus Et. Date when positive flux reaches 25% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,97.47978484533081,208.60561262321804
En_q25_null,day of year,"Other modeled net evaporation N = E minus Et. 25% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,101.65450602724918,201.04138324661994
En_q50,day of year,"Other modeled net evaporation N = E minus Et. Date when positive flux reaches 50% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,112.37495898627871,238.3784702102141
En_q50_null,day of year,"Other modeled net evaporation N = E minus Et. 50% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,125.81925886701795,233.53312226050878
En_q75,day of year,"Other modeled net evaporation N = E minus Et. Date when positive flux reaches 75% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,146.13826320626015,265.91500490870214
En_q75_null,day of year,"Other modeled net evaporation N = E minus Et. 75% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,165.85978557637029,271.26638195245476
En_q90,day of year,"Other modeled net evaporation N = E minus Et. Date when positive flux reaches 90% of its fixed-season cumulative sum, interpolated within the daily overlap segment.",float64,43797,0,179.94177885702624,290.16979723804684
En_q90_null,day of year,"Other modeled net evaporation N = E minus Et. 90% date of the all-year reference curve circularly advanced by A, using the focal calendar length and fixed seasonal boundaries. Descriptive translation benchmark.",float64,43797,0,197.10551855192918,297.43498793746465
En_centroid_advance,days,Other modeled net evaporation N = E minus Et. Cell mean centroid across available derived years minus its annual centroid; positive means earlier. This cell constant is absorbed by cell fixed effects.,float64,43797,0,-31.067292917571848,32.72205885281738
En_q10_advance,days,Other modeled net evaporation N = E minus Et. Cell mean observed 10% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-39.011957951568746,18.574970477367202
En_q10_null_advance,days,Other modeled net evaporation N = E minus Et. Unshifted reference 10% date minus shifted-reference 10% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-17.524488363628137,10.512087756413635
En_q10_gap,days,Other modeled net evaporation N = E minus Et. 10% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-23.31224396294928,40.36471719381669
En_q25_advance,days,Other modeled net evaporation N = E minus Et. Cell mean observed 25% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-42.42659163608778,32.157564030411606
En_q25_null_advance,days,Other modeled net evaporation N = E minus Et. Unshifted reference 25% date minus shifted-reference 25% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-27.64809165233035,19.853134520001078
En_q25_gap,days,Other modeled net evaporation N = E minus Et. 25% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-35.31249681895085,48.03695815677224
En_q50_advance,days,Other modeled net evaporation N = E minus Et. Cell mean observed 50% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-58.65061547668523,50.487610804739774
En_q50_null_advance,days,Other modeled net evaporation N = E minus Et. Unshifted reference 50% date minus shifted-reference 50% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-36.11188230948258,21.896868822328486
En_q50_gap,days,Other modeled net evaporation N = E minus Et. 50% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-48.04578998462739,56.79168703459152
En_q75_advance,days,Other modeled net evaporation N = E minus Et. Cell mean observed 75% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-43.54372415724441,53.29964796740529
En_q75_null_advance,days,Other modeled net evaporation N = E minus Et. Unshifted reference 75% date minus shifted-reference 75% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-25.515291351593334,26.006823905916633
En_q75_gap,days,Other modeled net evaporation N = E minus Et. 75% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-53.75629318210537,49.192346514410985
En_q90_advance,days,Other modeled net evaporation N = E minus Et. Cell mean observed 90% date across available derived years minus its annual date; positive means earlier.,float64,43797,0,-26.53179543729496,58.10568670445653
En_q90_null_advance,days,Other modeled net evaporation N = E minus Et. Unshifted reference 90% date minus shifted-reference 90% date. Fixed-season boundaries mean this need not equal A.,float64,43797,0,-16.07999725593743,23.7571672119372
En_q90_gap,days,Other modeled net evaporation N = E minus Et. 90% translation-benchmark advance minus observed advance; directly modeled reference-minus-estimated contrast.,float64,43797,0,-60.15370521397708,33.20655599296671
centroid_Et_minus_E_advance,days,T centroid advance minus E centroid advance on the same row; modeled as a direct paired contrast.,float64,43797,0,-27.74337602993586,61.61237200944541
centroid_Et_minus_En_advance,days,T centroid advance minus N centroid advance on the same row; modeled as a direct paired contrast.,float64,43797,0,-41.136838971104055,65.57802064760358
qdiff_Et_minus_E_q10,days,T minus E advance of the 10% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-43.9167387010759,47.47844474632828
qdiff_Et_minus_En_q10,days,T minus N advance of the 10% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-42.78832793493537,49.905812140727846
qdiff_Et_minus_E_q25,days,T minus E advance of the 25% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-49.42975086880824,60.207885033582016
qdiff_Et_minus_En_q25,days,T minus N advance of the 25% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-47.63998941896514,62.62184247271662
qdiff_Et_minus_E_q50,days,T minus E advance of the 50% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-35.29511391641566,67.06066810437665
qdiff_Et_minus_En_q50,days,T minus N advance of the 50% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-62.83151290675423,75.31517389524933
qdiff_Et_minus_E_q75,days,T minus E advance of the 75% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-39.20059893632458,84.14571612755682
qdiff_Et_minus_En_q75,days,T minus N advance of the 75% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-58.234046376900466,85.87316941417387
qdiff_Et_minus_E_q90,days,T minus E advance of the 90% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-30.28681265785397,63.128201181383474
qdiff_Et_minus_En_q90,days,T minus N advance of the 90% positive cumulative-flux date; direct paired timing contrast.,float64,43797,0,-60.521657373392685,65.75710783377744
Et_fraction_annual,proportion,"Integrated T divided by integrated E over the annual interval, only where integrated E is positive. Not a mean of daily ratios; multiply a coefficient by 100 to express percentage points.",float64,43797,0,0.002384166237130271,0.7577029540233209
Et_fraction_early,proportion,"Integrated T divided by integrated E over the early interval, only where integrated E is positive. Not a mean of daily ratios; multiply a coefficient by 100 to express percentage points.",float64,43797,0,0.0,0.9271860099977717
Et_fraction_late,proportion,"Integrated T divided by integrated E over the late interval, only where integrated E is positive. Not a mean of daily ratios; multiply a coefficient by 100 to express percentage points.",float64,43797,0,0.0,0.980271335447345
